taxonID;parentNameUsageID;acceptedNameUsageID;originalNameUsageID;taxonRank;taxonomicStatus;scientificName;nameAccordingTo;namePublishedInYear;namePublishedIn;namePublishedInID;nomenclaturalStatus;dc:references;typification;taxonRemarks
c15;k1;;;class;;Bivalvia;;;;;;;;
c16;p11;;;class;;Scyphozoa;;;;;;;;
c17;p1;;;class;;Branchiopoda;;;;;;;;
o1;c1;;;order;;Coleoptera;;;;;;;;
o3;c1;;;order;;Hymenoptera;;;;;;;;
o4;c1;;;order;;Hemiptera;;;;;;;;
o5;c3;;;order;;Coccoideaceae;;;;;;;;
o6;c4;;;order;;Lobata;;;;;;;;
o8;c8;;;order;;Helotiales;;;;;;;;
o9;c9;;;order;;Pseudoscorpiones;CoL;;;;;;;
o10;;o9;;order;synonym;Pseudoscorpionida;Wikipedia;;;;;https://en.wikipedia.org/wiki/Pseudoscorpion;;
o11;;o9;;order;synonym;Chelonethida;Wikipedia;;;;;https://en.wikipedia.org/wiki/Pseudoscorpion;;
o12;c2;;;order;;Stylommatophora;ITIS;;;;;http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76755;;
o13;c2;;;order;;Littorinimorpha;;;;;;http://www.catalogueoflife.org/col/browse/tree/id/4f3b1133c474f0b6a140c2c034c4662a;;
o14;;o13;;order;;Heteropoda;;;;;;https://en.wikipedia.org/wiki/Pterotracheoidea;;
o15;c1;;;order;;Lepidoptera;;;;;;;;
o16;c1;;;order;;Diptera;;;;;;;;
o17;c15;;;order;;Myida;;;;;;;;
o18;c16;;;order;;Rhizostomeae;;;;;;;;
o19;p1;;;order;;Sessilia;;;;;;;;
o20;c1;;;order;;Diptera;;;;;;;;
sf1;o4;;;superfamily;accepted;Coccoidea;CoL;;;;;;;
f1;o1;;;family;;Hydraenidae;;;;;;;;
f2;o12;;;family;;Amastridae;;;;;;;;
f3;c2;;;family;;Pyramidellidae;;;;;;;;
f4;p5;;;family;;Ulvaceae;;;;;;;;
f5;o3;;;family;;Vespidae;;;;;;;;
f6;o8;;;family;;Helotiaceae;;;;;;;;
f7;c11;;;family;;Dendrobatidae;;;;;;;;
f8;k2;;;family;;Asteraceae;;;;;;;;
f9;c1;;;family;;Cimeliidae;;;;;;;;
f10;;f9;;family;;Axiidae Rebel;;;;;;;;
f11;c14;;;family;;Axiidae Huxley;;;;;;;;
f12;;f8;;family;synonym;Compositae;;;;;;;;
f13;k2;;;family;;Fabaceae;;;;;;;;
f14;;f13;;family;synonym;Leguminosae;;;;;;;;
f15;o12;;;family;;Helicidae Rafinesque, 1815;IRMNG;1815;;;;;;
f16;p3;;;family;;Gnomoniaceae;Index Fungorum;;;;;;;
f20;o18;;;family;;Cepheidae Agassiz, 1862;;;;;;;;
f21;;f22;;family;synonym;Cepheidae Berlese, 1896;;;;;;;;
f22;c9;;;family;;Compactozetidae Luxton, 1988;;;;;;;;
f23;o16;;;family;;Xylophagidae Fallén, 1810;;1810;;;;;;
f24;;f25;;family;synonym;Xylophagidae Purchon, 1941;;1941;;;;;;see ICZN Opinion 2429, homonym of Xylophagidae Fallén, 1810
f25;c15;;;family;;Xylophagaidae Purchon, 1941;;2018;;;;https://www.iczn.org/cases/all-cases/case/3717#opinion-123;;ICZN Opinion 2429: The International Commission on Zoological Nomenclature has emended the spelling of the name Xylophagidae Purchon, 1941 (Mollusca, Bivalvia) to remove homonymy with Xylophagidae Fallén, 1810 (Insecta, Diptera). The stem of the molluscan generic name Xylophaga Turton, 1822 has been emended to Xylophaga- to give Xylophagaidae while the dipteran family group name (based on Xylophagus Meigen, 1803) remains unchanged.
f26;c2;;;family;;Cepolidae;;;;;;;;
f27;p6;;;family;;Cepolidae;;;;;;;;
f28;p1;;;family;;Hyperbionycidae;;;;;;;;
f29;k4;;;family;;Hyperbionycidae;;;;;;;;
f30;p13;;;family;;Lagynidae;;;;;;;;
f31;p14;;;family;;Lagynidae;;;;;;;;
f32;c1;;;family;doubtful;Personidae Novokshonov, 1995;;;;;;;;
f33;c2;;;family;;Personidae Gray, 1854;;;;;;;;
f34;c6;;;family;;Sagittariidae;;;;;;;;
f35;p13;;;family;;Sagittariidae;;;;;;;;
f36;p7;;;family;;Ripogonaceae;;;;;;;;
f37;;f36;;family;;Rhipogonaceae;;;;;;;;typo in PaleaoDB
1;f1;;;species;;Hydraena truncata Rey, 1885;ITIS;;;;;http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=815716;;Provisionally added until it becomes available via ITIS or FaunaEuropaea
2;f2;;;species;;Amastra affinis (Newcomb, 1854);BishopMuseum;;;;;http://nsdb.bishopmuseum.org/?w=BPBM&explst=tr&cols=10&rpp=1000&pge=1&id=1519640147;;
3;;2;;species;junior synonym;Achatinella goniostoma;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
4;;2;;species;junior synonym;Achatinella pupoidea;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
5;;2;;species;junior synonym;Amastra abberans;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
6;;2;;subspecies;junior synonym;Amastra affinis subsp. subpulla;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
7;;2;;variety;junior synonym;Amastra affinis var. bigener;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
8;;2;;variety;junior synonym;Amastra affinis var. cinderella;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
9;;2;;variety;junior synonym;Amastra bigener var. abberans;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
10;;2;;species;junior synonym;Amastra bigener;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
12;;2;;species;junior synonym;Amastra cinderella;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
13;;2;;species;junior synonym;Amastra goniostoma;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
14;;2;;species;junior synonym;Amastra pupoidea;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
15;;2;;species;junior synonym;Amastra rustica;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
17;;2;;species;junior synonym;Amastra subpulla;BishopMuseum;;;;;;;following Cowie, R. H., N. L. Evenhuis & C. C. Christensen. 1995. Catalog of the native land and freshwater molluscs of the Hawaiian Islands. Backhuys Publishers, Leiden. vi+248 p.
20;f3;;;genus;accepted;Belonidium Cossmann, 1892;IRMNG;1892;J. Conchyliol., 40, 350.;;;;;
21;;20;;genus;synonym;Anisocycla Cossmann, 1888;IRMNG;1888;Ann. Soc. malac. Belgique, 23, Mém., 108.;;nomen nudum;;;
22;o3;;;genus;accepted;Dacnusa Haliday, 1833;ITIS;;;;;;;
23;;22;;genus;synonym;Radiolaria Provancher, 1886;ITIS;;;;;;;
26;o5;;;genus;accepted;Coccoidea;CoL;;;;;;;
28;p3;;;genus;accepted;Acantharia;IF;;;;;;;
30;f4;;;genus;accepted;Lobata;;;;;;;;
31;c6;;;species;accepted;Monticola erythronotus;IUCN;;;;;;;
32;c6;31;;species;synonym;Monticola erythronota;Clements Checklist;;;;;;;
33;f5;;;species;accepted;Vespula alascensis (Packard, 1870);Peter de Vries;;;;;http://digitallibrary.amnh.org/dspace/handle/2246/6074;;Carpenter & Glare 1956: Misidentification of Vespula alascensis as V. vulgaris in North America.
34;f5;;;species;accepted;Hypodynerus anae Barerra, 2011;Barerra;2011;Boletín de la Sociedad Entomológica  Aragonesa, 48: 157-162.;;;http://www.insectos.cl/pdf/barrera-medina-2011%20157%20162%20BSEA%2048%20Avispa%20alfarera%20Chile.pdf;;notified by personal author email. See also http://www.vespidae.be/Eumeninae/Hypodynerus_anae.htm
35;c7;36;;species;synonym;Stigmaria fucoides;Sven Ziepe;;;;misspelling;;;notified by Sven Ziepe, pandora.be
36;c7;;;species;accepted;Stigmaria ficoides;Sven Ziepe;;;;;;;
37;f6;;;species;accepted;Hymenoscyphus pseudoalbidus V. Queloz, C.R. Grünig, R. Berndt, T. Kowalski, T.N. Sieber & O. Holdenrieder;MycoBank;2010;;http://www.mycobank.org/MB/542015;;;;notified by personal email from Andrin Gross
38;f7;;;genus;accepted;Andinobates Twomey, Brown, Amézquita, and Mejía-Vargas, 2011;;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083: 20;;;;Type species: Dendrobates bombetes Myers and Daly, 1980, by original designation.;notified by Ángela Suárez-Mayorga, see http://dev.gbif.org/issues/browse/POR-2030
39;38;;53;species;;Andinobates abditus (Myers and Daly, 1976);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083: 36.;http://dendrobates.org/articles/Myers&Daly1976_D.abditus.pdf;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-abditus;;
40;38;;54;species;;Andinobates altobueyensis (Silverstone, 1975);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083: 30.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-altobueyensis;;
41;38;;;species;;Andinobates bombetes (Myers and Daly, 1980);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-bombetes;;
42;38;;;species;;Andinobates cassidyhornae Amézquita, Márquez, Mejía-Vargas, Kahn, Suárez, and Mazariegos, 2013;;2013;Amézquita, Márquez, Mejía-Vargas, Kahn, Suárez, and Mazariegos, 2013, Zootaxa, 3620: 168.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-cassidyhornae;;
43;38;;55;species;;Andinobates claudiae (Jungfer, Lötters, and Jörgens, 2000);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-claudiae;;
44;38;;56;species;;Andinobates daleswansoni (Rueda-Almonacid, Rada, Sánchez-Pacheco, Velásquez-Álvarez, and Quevedo-Gil, 2006);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-daleswansoni;;
45;38;;57;species;;Andinobates dorisswansonae (Rueda-Almonacid, Rada, Sánchez-Pacheco, Velásquez-Álvarez, and Quevedo-Gil, 2006);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-dorisswansonae;;
46;38;;58;species;;Andinobates fulguritus (Silverstone, 1975);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-fulguritus;;
47;38;;;species;;Andinobates geminisae Batista, Jaramillo, Ponce, and Crawford, 2014;;2014;Batista, Abel, César J. A., Marcos Ponce & Andrew J. Crawford. 2014 A new species of Andinobates (Amphibia: Anura: Dendrobatidae) from west central Panama. Zootaxa 3866(3): 333–352.;http://dx.doi.org/10.11646/zootaxa.3866.3.2;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-geminisae;;
48;38;;;species;;Andinobates minutus (Shreve, 1935);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-minutus;;
49;38;;;species;;Andinobates opisthomelas (Boulenger, 1899);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-opisthomelas;;
50;38;;;species;;Andinobates tolimensis (Bernal-Bautista, Luna-Mora, Gallego, and Quevedo-Gil, 2007);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-tolimensis;;
51;38;;;species;;Andinobates viridis (Myers and Daly, 1976);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-viridis;;
52;38;;;species;;Andinobates virolinensis (Ruiz-Carranza and Ramírez-Pinilla, 1992);;2011;Brown, Twomey, Amézquita, Souza, Caldwell, Lötters, von May, Melo-Sampaio, Mejía-Vargas, Pérez-Peña, Pepper, Poelman, Sanchez-Rodriguez, and Summers, 2011, Zootaxa, 3083.;;;http://research.amnh.org/vz/herpetology/amphibia/index.php//Amphibia/Anura/Dendrobatidae/Dendrobatinae/Andinobates/Andinobates-virolinensis;;
53;;39;;species;;Dendrobates abditus Myers and Daly, 1976;;1976;Occas. Pap. Mus. Nat. Hist. Univ. Kansas, 59: 1;;;;;
54;;40;;species;;Dendrobates altobueyensis Silverstone, 1975;;1975;;;;;;
55;;43;;species;;Dendrobates claudiae Jungfer, Lötters, and Jörgens, 2000;;2000;Herpetofauna, Weinstadt, 22: 12.;;;;;
56;;44;;species;;Dendrobates daleswansoni Rueda-Almonacid, Rada, Sánchez-Pacheco, Velásquez-Álvarez, and Quevedo-Gil, 2006;;2006;Zootaxa, 1259: 41.;;;;;
57;;45;;species;;Dendrobates dorisswansoni Rueda-Almonacid, Rada, Sánchez-Pacheco, Velásquez-Álvarez, and Quevedo-Gil, 2006;;2006;Zootaxa, 1259: 48.;;;;;
58;;46;;species;;Dendrobates fulguritus Silverstone, 1975;;1975;Sci. Bull. Nat. Hist. Mus. Los Angeles Co., 21: 28.;;;;;
59;f8;;;species;;Jacobaea vulgaris Gaertn.;;1791;Fruct. Sem. Pl. 2: 445. 1791;;;;;
60;59;;;subspecies;;Jacobaea vulgaris subsp. gotlandica (Neuman) B.Nord.;;2006;Compositae Newslett. 44: 12 (2006);;;http://www.actaplantarum.org/flora/flora_info.php?id=9392;;
61;59;;;subspecies;;Jacobaea vulgaris subsp. dunensis (Dumort.) Pelser & Meijden;;2005;Heukels' Fl. Nederland 677. 2005;;;http://www.theplantlist.org/tpl1.1/record/gcc-54851;;
62;;60;;variety;;Senecio jacobaea L. var. gotlandicus Neuman;;1901;Sver. Fl .: 26 (1901);;;http://botanicaserbica.bio.bg.ac.rs/arhiva/pdf/2012_36_2_570_full.pdf;;
63;p3;;;species;;Tephromela siphulodes Poelt & Grube;;1993;Nova Hedwigia 57(1-2): 9 (1993);;;http://www.indexfungorum.org/names/NamesRecord.asp?RecordID=360652;;
64;;63;;species;;Tephromela siphuloides Poelt & Grube;;;;;;http://www.biodiversity.no/ScientificName/75131;;
65;f8;;;species;accepted;Ambrosia artemisiifolia L.;;;;;;http://www.theplantlist.org/tpl1.1/record/gcc-20460;;
66;f8;;;species;accepted;Ambrosia polystachya DC.;;;;;;;;
67;;66;;species;synonym;Ambrosia artemisiifolia Besser;;;;;;http://www.theplantlist.org/tpl1.1/record/gcc-142227;;illegitimate name
68;o1;;;genus;accepted;Antennoluprops Schawaller, 2007;;2007;Spixiana 30/1: 29-32;;;http://www.pfeil-verlag.de/04biol/pdf/spix30_1_04.pdf;;
69;68;;;species;accepted;Antennoluprops bremeri Schawaller, 2007;;2007;Spixiana 30/1: 29-32;;;http://www.pfeil-verlag.de/04biol/pdf/spix30_1_04.pdf;;
70;68;;;species;accepted;Antennoluprops triplehorni Schawaller & Aalbu 2015;;2015;The Coleopterists Bulletin 69(mo4):80-82. 2015;doi:10.1649/0010-065X-69.mo4.80;;http://www.bioone.org/doi/abs/10.1649/0010-065X-69.mo4.80;;
71;;72;;genus;synonym;Vogtia Pastrana, 1961;;1961;;;;http://bugguide.net/node/view/750459;;Vogtia was a patronym for George B. Vogt (1920–1990) who worked extensively on the biological control of alligator weed.
72;o15;;;genus;accepted;Arcola Shaffer, 1995;;1995;;;;http://bugguide.net/node/view/750459;;
73;;74;;species;synonym;Vogtia malloi Pastrana, 1961;;1961;;;;https://en.wikipedia.org/wiki/Arcola_malloi;;
74;72;;73;species;accepted;Arcola malloi (Pastrana, 1961);;;;;;https://en.wikipedia.org/wiki/Arcola_malloi;;
75;76;;;species;accepted;Eriovixia gryffindori Ahmed, Khalap & Sumukha, 2016;;2016;Indian Journal of Arachnology 5 (1-2): 24-27;;;http://indianarachnology.com/ija/wp-content/uploads/2016/12/ija_2016_v5_n1_2_p7_24_27.pdf;;
76;c9;;;genus;accepted;Eriovixia Archer, 1951;;1951;;;;;;
77;f15;;;genus;accepted;Discula Lowe, 1852;IRMNG;1852;Ann. Mag. Nat. Hist., (2) 9: 116;;;http://www.irmng.org/aphia.php?p=taxdetails&id=1380624;;
78;f16;;;genus;accepted;Discula P.A. Saccardo, 1884;Index Fungorum;1884;Syll. fung. (Abellini) 3: 674 (1884);;;http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=8085;;
79;c6;;;genus;accepted;Aegithalos Hermann, 1804;;1804;;;;;;
80;;79;;genus;synonym;Aegithalus;;;;;;;;
81;79;;;species;accepted;Aegithalos consobrinus Swinhoe, 1870;;1870;;;;;;
82;;81;;species;synonym;Aegithalus consobrinus;;;;;;;;
83;79;;;subspecies;accepted;Aegithalos caudatus taiti Ingram, 1913;;1913;;;;;;
84;;83;;subspecies;synonym;Aegithalus caudatus taiti;;;;;;;;
85;c14;;;species;accepted;Allanaspides hickmani Swain, Wilson & Ong, 1971;;1971;;;;https://doi.org/10.1163/156854071X00409;;
86;c14;;;species;accepted;Allanaspides helonomus Swain, Wilson, Hickman & Ong, 1970;;1970;"Swain, R., Wilson, I.S., Hickman, J.L. & Ong, J.E. 1970, ""Allanaspides helonomus gen. et sp. nov. (Crustacea: Syncarida) from Tasmania"", Records of the Queen Victoria Museum, Launceston, vol. 35, pp. 1-13, 2 pls";;;https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:e125ede7-3481-4ea4-b637-17a4edd12bd2#names;;
87;c9;;;species;accepted;Halacarellus floridearum (Lohmann, 1889);;;;;;;;
88;;87;;species;synonym;Halacarellus floridiarum (Lohmann, 1889);;;;;;;;spelling mistake
89;;90;;species;synonym;Lanxania obscura Loew, 1861;;;;;;;;typo
90;;91;;species;synonym;Lauxania obscura Loew, 1861;;;;;;;;
91;o16;;;species;accepted;Minettia obscura (Loew, 1861);;;;;;;;
92;;93;;species;synonym;Sapromyzina frtercula Malloch;;;;;;;;typo
93;;94;;species;synonym;Sapromyza fratercula Malloch, 1920;;;;;;;;
94;o16;;;species;accepted;Homoneura fratercula (Malloch, 1920);;;;;;;;
96;;97;;species;synonym;Ophryotrocha craigsmithia;;;;;;;;GBIF Type Specimen typo
97;p12;;;species;accepted;Ophryotrocha craigsmithi;;;;;;;;
98;k3;;;species;accepted;Exidia pithya (Alb. & Schwein.) Fr.;;;;;;;;
99;k3;;;species;accepted;Cortinarius caroviolaceus P.D. Orton;;;;;;;;
100;c6;;;genus;accepted;Caloramphus Lesson, 1839;;1839;;;;;;
101;;100;;genus;synonym;Calorhamphus Lesson, 1839;;1839;;;;https://github.com/gbif/portal-feedback/issues/2729;;misspelling
102;p15;;;species;accepted;Trypanosoma brucei Plimmer & Bradford, 1899;;;;;;https://github.com/gbif/portal-feedback/issues/1331;;wrong classification and redundant genus under Animalia otherwise
103;f13;;;species;accepted;Paraserianthes lophantha (Willd.) I.C.Nielsen;;1839;;;;https://en.wikipedia.org/wiki/Paraserianthes_lophantha;;
104;;103;;species;synonym;Paraserthianthes lophantha (Willd.) I.C.Nielsen;;1839;;;;http://dx.doi.org/10.1071/sb11042;;author Joe Miller reported this as a misspelling
105;o19;;;species;accepted;Balanus nubilus Darwin, 1854;;1854;Darwin, Charles R. 1854. A monograph on the sub-class Cirripedia with figures of all species.;urn:lsid:zoobank.org:pub:96BDC586-8E36-43B9-AC79-841E7D009409;;https://www.biodiversitylibrary.org/item/18394#page/269/mode/1up;;
106;;105;;species;synonym;Balanus nubilis;;;;;;https://www.biodiversitylibrary.org/item/18394#page/269/mode/1up;;https://github.com/gbif/portal-feedback/issues/3499
107;p7;;;species;accepted;Hedera hibernica Poit.;1835;;;;;Bon Jard. 1835: 731 (1835);;https://github.com/gbif/portal-feedback/issues/3225
